folder;file;point1_x;point1_y;point2_x;point2_y
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;518.5;745.5;561.5;732.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;724.5;798.5;769.5;777.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;734.5;757.5;854.5;727.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;824.5;667.5;844.5;738.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;793.5;695.5;833.5;693.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;768.5;403.5;809.5;433.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;812.5;440.5;872.5;613.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;871.5;602.5;836.5;671.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;977.5;413.5;888.5;588.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.4_9;873.5;345.5;980.5;420.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;382.5;575.5;401.5;681.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;398.5;673.5;439.5;683.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;697.5;838.5;733.5;937.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;750.5;697.5;794.5;653.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;785.5;657.5;843.5;651.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;754.5;642.5;791.5;631.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;785.5;636.5;791.5;631.5
